Region/Country/Economy,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Zimbabwe,12.9,13.6,12.3,12.5,13.6,13.6,15.1,15.5,15.9,15.8,15.3,15.5,14.1,11.7,11.1,10.4,10.1,9.7,8,8.5,9.4,10.5,11.7,12.2,12.6,12.7
Other Africa,58,54.2,54,54.8,54.4,57.4,60.8,64.7,68.2,71.9,70.7,76.5,80.1,85,93.5,100.8,107.6,115.1,123.8,127.8,132.6,139.5,146.6,150.8,157.2,160.3
Bangladesh,42.4,43.9,46.3,48.5,50.4,52.9,55.3,57.8,60.8,63.6,67,70.4,73.1,76.6,80.6,85.9,91.6,98.1,104,109.2,115.3,122.7,130.7,138.6,147,156.6
Brunei Darussalam,9.6,9.9,10.4,10.4,10.7,11.2,11.5,11.4,11.3,11.6,12,12.3,12.8,13.1,13.2,13.3,13.8,13.9,13.6,13.4,13.7,14.2,14.4,14,13.7,13.6
Cambodia,..,..,..,..,..,3.7,3.9,4.1,4.3,4.8,5.2,5.6,6,6.5,7.2,8.1,9,9.9,10.6,10.6,11.2,12,12.9,13.9,14.9,15.9
DPR of Korea,42.7,40.5,37.4,35.8,35.1,33.5,32.3,30.1,29.8,29.8,29.8,28.9,28.9,28.9,28.9,28.9,29.4,29.1,28.4,29.4,26.8,25.5,26.1,26.3,26.6,26.9
India,471.6,476.6,502.8,526.6,561.7,604.3,649.9,676.2,718,781.5,811.5,850.7,883.1,952.5,1027.9,1123.4,1227.4,1333.1,1385,1502.4,1656.6,1766.5,1863.4,1985.3,2127.8,2296.6
Indonesia,309.8,331.2,352.8,375.7,404,437.2,471.4,493.5,428.8,432.2,453.4,469.9,491.1,514.6,540.4,571.2,602.6,640.9,679.4,710.9,755.1,801.7,850,897.3,942.3,987.5
Malaysia,81.8,89.6,97.6,107.2,117.1,128.6,141.5,151.8,140.7,149.3,162.5,163.4,172.2,182.1,194.5,204.9,216.3,236.7,244.6,238.4,255,268.5,283.2,296.5,314.3,330
Mongolia,3.8,3.5,3.2,3.1,3.2,3.4,3.4,3.6,3.7,3.8,3.8,4,4.1,4.4,4.9,5.3,5.7,6.3,6.8,6.8,7.2,8.4,9.5,10.6,11.4,11.7
Myanmar,11.7,11.6,12.7,13.5,14.5,15.5,16.5,17.4,18.4,20.5,23.3,25.9,29,33.1,37.5,42.6,48.2,54,55.9,58.8,61.9,65.4,70.2,76.1,82.7,88.6
